date,fx_rate_usd_ngn
2025-06-09,1610.0
2025-06-16,1610.0
2025-06-23,1610.0
2025-06-30,1610.0
2025-07-07,1595.0
2025-07-14,1595.0
2025-07-21,1595.0
2025-07-28,1595.0
2025-08-04,1585.0
2025-08-11,1585.0
2025-08-18,1585.0
2025-08-25,1585.0
2025-09-01,1580.0
2025-09-08,1580.0
2025-09-15,1580.0
2025-09-22,1580.0
2025-09-29,1580.0
2025-10-06,1595.0
2025-10-13,1595.0
2025-10-20,1595.0
2025-10-27,1595.0
2025-11-03,1600.0
2025-11-10,1600.0
2025-11-17,1600.0
2025-11-24,1600.0
2025-12-01,1610.0
2025-12-08,1610.0
2025-12-15,1610.0
2025-12-22,1610.0
2025-12-29,1610.0
2026-01-05,1590.0
2026-01-12,1590.0
