2026-04-11 15:39:04.932 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-07-30 | ₦122,525/MT | Below hard floor 500,000
2026-04-11 15:39:04.933 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-08-06 | ₦134,789/MT | Below hard floor 500,000
2026-04-11 15:39:04.934 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-08-13 | ₦125,774/MT | Below hard floor 500,000
2026-04-11 15:39:04.935 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-08-20 | ₦127,556/MT | Below hard floor 500,000
2026-04-11 15:39:04.935 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-08-27 | ₦131,943/MT | Below hard floor 500,000
2026-04-11 15:39:04.936 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-09-03 | ₦128,089/MT | Below hard floor 500,000
2026-04-11 15:39:04.937 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-09-10 | ₦133,908/MT | Below hard floor 500,000
2026-04-11 15:39:04.938 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-09-17 | ₦138,216/MT | Below hard floor 500,000
2026-04-11 15:39:04.939 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-09-24 | ₦126,586/MT | Below hard floor 500,000
2026-04-11 15:39:04.940 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-10-01 | ₦137,960/MT | Below hard floor 500,000
2026-04-11 15:39:04.940 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-10-08 | ₦138,270/MT | Below hard floor 500,000
2026-04-11 15:39:04.941 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-10-15 | ₦140,418/MT | Below hard floor 500,000
2026-04-11 15:39:04.942 | WARNING  | __main__:flag_hard_bound_outliers:122 -     OUTLIER → Cashew Nuts | 2012-10-22 | ₦132,109/MT | Below hard floor 500,000
